Province_State,Confirmed,Deaths,Recovered,Active,Incident_Rate,Testing_Rate,Hospitalization_Rate,Mortality_Rate,Lat,Long_
Alabama,3667.0,93.0,,,74.78812241430825,1265.0756600046705,12.26494527,0.025361330788110172,32.3182,-86.9023
Alaska,272.0,8.0,66.0,198.0,37.18158144748443,1344.711576,11.39705882,0.029411764705882353,61.3707,-152.4044
Arizona,3542.0,115.0,,,48.662422237325615,578.5222863,,0.032467532467532464,33.7298,-111.4312
Arkansas,1280.0,27.0,367.0,886.0,42.41494808807994,761.7533537,10.15625,0.02109375,34.9697,-92.3731
California,22201.0,632.0,,,56.18767640585548,485.4238685,22.9611757,0.02846718616278546,36.1162,-119.6816
Colorado,7307.0,289.0,,,126.88548320325847,615.3899908,18.8312577,0.03955111536882441,39.0598,-105.3111
Connecticut,12035.0,554.0,,,337.5604825081403,1156.148159,13.74324886,0.04603240548400499,41.5978,-72.7554
Delaware,1625.0,49.0,191.0,1385.0,166.87821689855036,1140.214672,11.69230769,0.030153846153846153,39.3185,-75.5071
District of Columbia,1875.0,50.0,493.0,1332.0,265.6751904713999,1507.618148,,0.02666666666666667,38.8974,-77.0268
Florida,19895.0,461.0,,,92.6308018391323,1508.5201946555171,13.93314903,0.023171651168635336,27.7663,-81.6868
Georgia,12452.0,433.0,,,117.27892917141946,537.0439828,20.11725024,0.03477353035656922,33.0406,-83.6431
Hawaii,499.0,9.0,300.0,190.0,35.2432988292727,1269.118355,8.817635271,0.018036072144288578,21.0943,-157.4983
Idaho,1407.0,27.0,,,78.73244677725768,888.4214004,9.310589908,0.019189765458422176,44.2405,-114.4788
Illinois,20852.0,720.0,,,164.55409210720384,858.3672336,17.64818722,0.03452906196048341,40.3495,-88.9861
Indiana,7928.0,448.0,,,117.76206329592073,649.2823801,,0.056508577194752774,39.8494,-86.2583
Iowa,1587.0,41.0,674.0,872.0,50.29999334404625,671.2677046,8.128544423,0.0258349086326402,42.0115,-93.2105
Kansas,1344.0,63.0,,,46.1330292580889,543.4925249,22.17261905,0.046875,38.5266,-96.7265
Kentucky,1963.0,97.0,464.0,1402.0,43.93786205928679,717.6402439,23.38257769,0.049414161996943456,37.6681,-84.6701
Louisiana,20595.0,840.0,,,443.0181247007288,2263.19295,10.11896091,0.04078659868900218,31.1695,-91.8678
Maine,633.0,19.0,266.0,348.0,47.09078627478404,572.4842974,18.95734597,0.030015797788309637,44.6939,-69.3819
Maryland,8225.0,236.0,456.0,7533.0,136.0475579256593,837.3076732,22.61398176,0.028693009118541033,39.0639,-76.8021
Massachusetts,25475.0,756.0,,,369.6044818551403,1700.668379,8.773307164,0.029676153091265946,42.2302,-71.5301
Michigan,24244.0,1479.0,433.0,22332.0,242.759058230232,997.0430232,14.99752516,0.061004784688995214,43.3266,-84.5361
Minnesota,1621.0,70.0,842.0,709.0,28.74301018222465,756.5229662,22.27020358,0.0431832202344232,45.6945,-93.9002
Mississippi,2781.0,96.0,,,93.44290222028536,739.6019489,19.70514204,0.034519956850053934,32.7416,-89.6787
Missouri,4352.0,120.0,,,70.90918215252383,771.4026695,23.14359335,0.027573529411764705,38.4561,-92.2884
Montana,387.0,6.0,169.0,212.0,36.209577667204975,1029.230231,12.14470284,0.015503875968992248,46.9219,-110.4544
Nebraska,791.0,17.0,,,40.89106331239325,700.924163,,0.021491782553729456,41.1254,-98.2681
Nevada,2836.0,112.0,,,92.07325862716044,815.8260508,9.943582511,0.039492242595204514,38.3135,-117.0554
New Hampshire,929.0,23.0,236.0,670.0,68.32334223963768,849.5923030702847,15.71582347,0.024757804090419805,43.4525,-71.5639
New Jersey,61850.0,2350.0,,,696.3372771805151,1426.844055,12.29426031,0.03799514955537591,40.2989,-74.521
New Mexico,1245.0,26.0,235.0,984.0,59.37537109606935,1720.625619,6.265060241,0.020883534136546186,34.8405,-106.2485
New York,189033.0,9382.0,23887.0,155764.0,971.7141247301716,2737.680538,22.53257368,0.049631545814751925,42.1657,-74.9481
North Carolina,4570.0,89.0,,,43.573258947964185,626.5354222,7.242888403,0.01947483588621444,35.6301,-79.8064
North Dakota,331.0,7.0,121.0,180.0,40.4166590119964,1706.743533,12.66233766,0.021148036253776436,47.5289,-99.784
Ohio,6604.0,363.0,,,56.49707847481842,565.9906245,29.49727438,0.05496668685645063,40.3888,-82.7649
Oklahoma,1970.0,96.0,865.0,1009.0,49.78555566871731,622.2601824,22.63959391,0.048730964467005075,35.5653,-96.9289
Oregon,1527.0,52.0,,,36.20424886615737,742.6366471,23.51015062,0.034053700065487885,44.572,-122.0709
Pennsylvania,23219.0,572.0,,,181.3702542628337,992.175013,9.142035051,0.0246349972005685,40.5908,-77.2098
Rhode Island,2665.0,91.0,35.0,2539.0,251.5667463688016,1920.969339,7.542213884,0.03414634146341464,41.6809,-71.5118
South Carolina,3320.0,82.0,,,64.48212116656703,623.5149976,14.93975904,0.02469879518072289,33.8569,-80.945
South Dakota,730.0,6.0,197.0,527.0,82.51767065049923,1162.262941,5.890410959,0.00821917808219178,44.2998,-99.4388
Tennessee,5390.0,132.0,1504.0,3785.0,78.92608974379625,1076.584377,10.29411765,0.024489795918367346,35.7478,-86.6923
Texas,9747.0,306.0,2014.0,7427.0,33.61511933367363,541.811523,9.782847116,0.03139427516158818,31.0545,-97.5635
Utah,2303.0,18.0,,,71.83500220526906,1543.468991,8.467216674,0.007815892314372557,40.15,-111.8624
Vermont,727.0,27.0,15.0,685.0,116.50846409151444,1611.717172,4.676753783,0.037138927097661624,44.0459,-72.7107
Virginia,5274.0,141.0,,,61.78886134516249,505.6764505,14.23966629,0.026734926052332197,37.7693,-78.17
Washington,10609.0,562.0,,,139.31909483166737,1240.031828,6.051465737,0.052973890093316996,47.4009,-121.4905
West Virginia,593.0,6.0,83.0,504.0,33.088803541227364,1228.800044,13.65935919,0.01011804384485666,38.4912,-80.9545
Wisconsin,3341.0,144.0,,,57.38150058892896,758.6522632,29.15294822,0.04310086800359174,44.2685,-89.6165
Wyoming,270.0,0.0,137.0,133.0,46.6515423518252,1097.860188,14.81481481,0.0,42.756,-107.3025
